ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
100591;"Mitchell James ""Mitch"" Richmond, III";M;310;1950;980;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
101337;Alvin Cyrrale Robertson;M;220;1930;880;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
101376;Oscar Palmer Robertson;M;210;1960;900;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
101428;David Maurice Robinson;M;230;2160;1070;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
101428;David Maurice Robinson;M;260;2160;1070;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
101428;David Maurice Robinson;M;300;2160;1070;United States;USA;1996 Summer;1996;Summer;Atlanta;Basketball;Basketball Men's Basketball;Gold
101443;"Robert Lloyd Jackson ""Jack"" Robinson";M;210;1830;820;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
102177;"Kenneth Herman ""Kenny"" Rollins";M;240;1830;790;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
103602;"William Fenton ""Bill"" Russell";M;220;2070;1000;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
106116;Glynn Saulters;M;230;1880;800;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
107150;Willard Theodore Schmidt;M;260;2050;860;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
107981;"Charles Thomas ""Charlie"" Scott";M;190;1960;820;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
109591;"Steven Bernard ""Steve"" Sheppard";M;220;1980;950;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
109860;Jerry Franklin Shipp;M;290;1980;890;United States;USA;1964 Summer;1964;Summer;Tokyo;Basketball;Basketball Men's Basketball;Gold
110112;Carl Leslie Shy;M;270;1830;770;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
110472;"Michael Barnwell ""Mike"" Silliman";M;240;1980;1050;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
112172;Adrian Howard Smith;M;230;1860;810;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
112214;Charles Daniel H. Smith;M;230;2080;1000;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
112404;"Steven Delano ""Steve"" Smith";M;310;2000;1000;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
112446;Charles Edward Smith, IV;M;200;1850;750;United States;USA;1988 Summer;1988;Summer;Seoul;Basketball;Basketball Men's Basketball;Bronze
